##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.65817599913272	37.0	37.0	37.0	37.0	37.0
2	36.503242150257606	37.0	37.0	37.0	37.0	37.0
3	36.5735877571325	37.0	37.0	37.0	37.0	37.0
4	36.554771331306085	37.0	37.0	37.0	37.0	37.0
5	36.537762075729695	37.0	37.0	37.0	37.0	37.0
6	36.514543785056304	37.0	37.0	37.0	37.0	37.0
7	36.493840758080424	37.0	37.0	37.0	37.0	37.0
8	36.514910733436814	37.0	37.0	37.0	37.0	37.0
9	36.52996453090957	37.0	37.0	37.0	37.0	37.0
10-14	36.54497102351045	37.0	37.0	37.0	37.0	37.0
15-19	36.5075235298702	37.0	37.0	37.0	37.0	37.0
20-24	36.46455305169384	37.0	37.0	37.0	37.0	37.0
25-29	36.45200717750743	37.0	37.0	37.0	37.0	37.0
30-34	36.423612626654794	37.0	37.0	37.0	37.0	37.0
35-39	36.392883558000506	37.0	37.0	37.0	37.0	37.0
40-44	36.37590783590514	37.0	37.0	37.0	37.0	37.0
45-49	36.3946325679427	37.0	37.0	37.0	37.0	37.0
50-54	36.37145046686766	37.0	37.0	37.0	37.0	37.0
55-59	36.35821597983329	37.0	37.0	37.0	37.0	37.0
60-64	36.3664142843968	37.0	37.0	37.0	37.0	37.0
65-69	36.34087826070654	37.0	37.0	37.0	37.0	37.0
70-74	36.33060210372069	37.0	37.0	37.0	37.0	37.0
75-79	36.2436461857587	37.0	37.0	37.0	37.0	37.0
80-84	36.29268203051291	37.0	37.0	37.0	37.0	37.0
85-89	36.264899635305355	37.0	37.0	37.0	37.0	37.0
90-94	36.24423916660104	37.0	37.0	37.0	37.0	37.0
95-99	36.20604387434577	37.0	37.0	37.0	37.0	37.0
100-104	36.18568487995967	37.0	37.0	37.0	37.0	37.0
105-109	36.158433167652795	37.0	37.0	37.0	37.0	37.0
110-114	36.12017426421713	37.0	37.0	37.0	37.0	37.0
115-119	36.126799362888775	37.0	37.0	37.0	37.0	37.0
120-124	36.12065157109132	37.0	37.0	37.0	37.0	37.0
125-129	36.09457507847753	37.0	37.0	37.0	37.0	37.0
130-134	36.0358679792987	37.0	37.0	37.0	37.0	37.0
135-139	36.01143325305328	37.0	37.0	37.0	37.0	37.0
140-141	36.028728978382276	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.3947311269874021
1101	2	-0.5884810846423818
1101	3	-0.27578634126495416
1101	4	-0.1706738921552855
1101	5	-0.33976149225624397
1101	6	-0.1376015863334885
1101	7	-0.21775827948280835
1101	8	-0.2135503186407064
1101	9	-0.39877995882636696
1101	10-14	-0.36381047151637347
1101	15-19	-0.34611664170119383
1101	20-24	-0.2847665435160067
1101	25-29	-0.403673235421806
1101	30-34	-0.42505108374066936
1101	35-39	-0.46876824143687656
1101	40-44	-0.36437881461434785
1101	45-49	-0.5503681665305535
1101	50-54	-0.4644351093943442
1101	55-59	-0.4019966058998321
1101	60-64	-0.4084064862154122
1101	65-69	-0.5884132563980558
1101	70-74	-0.5480895586049144
1101	75-79	-0.3851731403774181
1101	80-84	-0.39668758535871973
1101	85-89	-0.6308974502307336
1101	90-94	-0.43995640423162286
1101	95-99	-0.5687740451877161
1101	100-104	-0.4574845419298299
1101	105-109	-0.5801135890193336
1101	110-114	-0.5041144414544831
1101	115-119	-0.5918912636988765
1101	120-124	-0.6424833332541837
1101	125-129	-0.4849976406112475
1101	130-134	-0.6384198112421089
1101	135-139	-0.5639137295035965
1101	140-141	-0.4840979286750766
1102	1	-0.03824453380055104
1102	2	-0.10984668544703169
1102	3	-0.016982177870254134
1102	4	-0.024919612016425674
1102	5	-0.07302950654978702
1102	6	-0.04934014433919032
1102	7	-0.025728721124636422
1102	8	-0.01945076169925386
1102	9	-0.08252339359396643
1102	10-14	-0.05948823669169201
1102	15-19	-0.08232880871948822
1102	20-24	-0.06331210262267462
1102	25-29	-0.11160199699330065
1102	30-34	-0.08705322836506468
1102	35-39	-0.13114896930495235
1102	40-44	-0.04312204255449359
1102	45-49	-0.11313837820488004
1102	50-54	-0.052798108986905845
1102	55-59	-0.07214862771797215
1102	60-64	-0.06711569593694833
1102	65-69	-0.09504446255812127
1102	70-74	-0.13306370461323525
1102	75-79	-0.08802220620861334
1102	80-84	-0.10081406233485524
1102	85-89	-0.11990968428462168
1102	90-94	-0.0884483362898365
1102	95-99	-0.0924208903841901
1102	100-104	-0.15335580377359292
1102	105-109	-0.20400333919601366
1102	110-114	-0.1745874520532027
1102	115-119	-0.16192803613249396
1102	120-124	-0.1400442561898103
1102	125-129	-0.1838261151188476
1102	130-134	-0.24499552250679102
1102	135-139	-0.18278977755717563
1102	140-141	-0.18768834919222144
1103	1	0.023526145208172977
1103	2	-0.07278997780251473
1103	3	-0.02690498911366035
1103	4	2.8659607976067036E-4
1103	5	-0.09359350124563548
1103	6	-0.09919927902500802
1103	7	0.01439748192046153
1103	8	-0.035320660557452754
1103	9	-0.03686555590724083
1103	10-14	-0.06562728370351323
1103	15-19	-0.05008971421248276
1103	20-24	-0.050024611329362756
1103	25-29	-0.11816080271467655
1103	30-34	-0.08644392731676476
1103	35-39	-0.09856393192443846
1103	40-44	-0.14933404818982865
1103	45-49	-0.13723387494140837
1103	50-54	-0.08301337247955587
1103	55-59	-0.08481824021659179
1103	60-64	-0.13541020077458654
1103	65-69	-0.07753451095296526
1103	70-74	-0.16973472844905757
1103	75-79	-0.09376278710809771
1103	80-84	-0.12372627975228312
1103	85-89	-0.1309400590908254
1103	90-94	-0.17264317097117754
1103	95-99	-0.15797016303240952
1103	100-104	-0.214691983696639
1103	105-109	-0.1575471722139028
1103	110-114	-0.1633822106247962
1103	115-119	-0.14449615822548623
1103	120-124	-0.13830206455011762
1103	125-129	-0.1486305547507385
1103	130-134	-0.2903706245074531
1103	135-139	-0.19883376934899388
1103	140-141	-0.017716871302802417
1104	1	0.06518992369608156
1104	2	0.030660734464227346
1104	3	0.025948347327187093
1104	4	-0.020904766775615258
1104	5	0.030533054896707768
1104	6	-0.005760584930527557
1104	7	-0.04480432258014133
1104	8	0.02953343534883146
1104	9	-0.047110972409406315
1104	10-14	0.009522826248201
1104	15-19	-0.02548283301356946
1104	20-24	-0.036583713847477384
1104	25-29	-0.018035999906125255
1104	30-34	-0.06827408499291465
1104	35-39	-0.018401249605012993
1104	40-44	-0.004171906671423642
1104	45-49	-0.062358049885013145
1104	50-54	-0.053042816834143025
1104	55-59	-0.03650759875961995
1104	60-64	-0.05237919697090376
1104	65-69	-0.025853456970317268
1104	70-74	-0.05114041593438401
