#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	ADAR	9940.ENSOARP00000014688	9940.ENSOARP00000003137	0	0	0	0	0	0	0	0.481	0.481
ABCA1	MTTP	9940.ENSOARP00000007886	9940.ENSOARP00000015814	0	0	0	0	0.054	0	0	0.453	0.460
ABCA1	NR1H4	9940.ENSOARP00000007886	9940.ENSOARP00000014913	0	0	0	0	0	0.101	0.248	0.436	0.585
ABCC1	EGFR	9940.ENSOARP00000010234	9940.ENSOARP00000014758	0	0	0	0	0.054	0.044	0	0.469	0.477
ABCC1	GART	9940.ENSOARP00000010234	9940.ENSOARP00000014076	0.104	0	0	0	0	0	0	0.480	0.514
ABHD4	COQ10B	9940.ENSOARP00000020879	9940.ENSOARP00000016585	0	0	0	0	0	0	0	0.483	0.483
ABHD4	SALL2	9940.ENSOARP00000020879	9940.ENSOARP00000021061	0	0	0	0	0	0	0	0.736	0.736
ABL2	CDON	9940.ENSOARP00000017829	9940.ENSOARP00000012950	0	0	0	0	0	0.088	0.373	0	0.403
ABL2	RUNX1	9940.ENSOARP00000017829	9940.ENSOARP00000014585	0	0	0	0	0	0	0.360	0.118	0.411
ABL2	EGFR	9940.ENSOARP00000017829	9940.ENSOARP00000014758	0	0	0.125	0.597	0	0.277	0.136	0.096	0.439
ABTB2	KDM7A	9940.ENSOARP00000019812	9940.ENSOARP00000013436	0	0	0	0	0	0	0	0.410	0.410
ACSL4	SH3GLB1	9940.ENSOARP00000019273	9940.ENSOARP00000015943	0	0	0	0	0	0.098	0	0.374	0.411
ADAM17	W5NPL3_SHEEP	9940.ENSOARP00000016274	9940.ENSOARP00000000103	0	0	0	0	0	0	0	0.439	0.439
ADAM17	TMPRSS2	9940.ENSOARP00000016274	9940.ENSOARP00000011088	0	0	0	0	0	0	0	0.609	0.609
ADAM17	TGFA	9940.ENSOARP00000016274	9940.ENSOARP00000011905	0	0	0	0	0.121	0.264	0	0.562	0.692
ADAM17	EGFR	9940.ENSOARP00000016274	9940.ENSOARP00000014758	0	0	0	0	0.065	0	0.067	0.619	0.638
ADAM17	NRP1	9940.ENSOARP00000016274	9940.ENSOARP00000018770	0	0	0	0	0	0	0	0.525	0.525
ADAM17	HBEGF	9940.ENSOARP00000016274	9940.ENSOARP00000018804	0	0	0	0	0	0	0.095	0.672	0.690
ADAR	HERC5	9940.ENSOARP00000003137	9940.ENSOARP00000000543	0	0	0	0	0.081	0	0	0.601	0.617
ADAR	PNPT1	9940.ENSOARP00000003137	9940.ENSOARP00000002293	0	0	0	0	0	0.060	0	0.538	0.547
ADAR	DDX3X	9940.ENSOARP00000003137	9940.ENSOARP00000002591	0	0	0	0	0	0.043	0	0.430	0.432
ADAR	FXR1	9940.ENSOARP00000003137	9940.ENSOARP00000022219	0	0	0	0	0	0.065	0	0.387	0.402
ADAR	PARP9	9940.ENSOARP00000003137	9940.ENSOARP00000021637	0	0	0	0	0.205	0	0	0.338	0.451
ADAR	STAT2	9940.ENSOARP00000003137	9940.ENSOARP00000009831	0	0	0	0	0.269	0	0.092	0.267	0.471
ADAR	A1CF	9940.ENSOARP00000003137	9940.ENSOARP00000014688	0	0	0	0	0	0	0	0.481	0.481
ADAR	PARP12	9940.ENSOARP00000003137	9940.ENSOARP00000013297	0	0	0	0	0.136	0	0	0.465	0.518
ADAR	IFIH1	9940.ENSOARP00000003137	9940.ENSOARP00000006578	0	0	0	0	0.147	0	0	0.466	0.525
ADAR	ZNFX1	9940.ENSOARP00000003137	9940.ENSOARP00000013394	0	0	0	0	0.459	0	0	0.261	0.583
ADAR	EIF2AK2	9940.ENSOARP00000003137	9940.ENSOARP00000010460	0	0	0	0.559	0.262	0.272	0	0.376	0.635
ADM	VEGFC	9940.ENSOARP00000012266	9940.ENSOARP00000007296	0	0	0	0	0.178	0	0	0.441	0.520
ADM	FST	9940.ENSOARP00000012266	9940.ENSOARP00000008709	0	0	0	0	0.111	0	0	0.533	0.567
AFTPH	AP1S3	9940.ENSOARP00000021488	9940.ENSOARP00000021897	0	0	0	0	0	0.269	0.360	0.206	0.596
ALDH1A1	PNPT1	9940.ENSOARP00000013613	9940.ENSOARP00000002293	0	0	0	0	0	0	0	0.477	0.477
ALDH1A1	GART	9940.ENSOARP00000013613	9940.ENSOARP00000014076	0.066	0	0	0	0.065	0	0.124	0.332	0.420
ALDH1A1	CD44	9940.ENSOARP00000013613	9940.ENSOARP00000020204	0	0	0	0	0	0	0	0.671	0.671
AMIGO2	TM4SF1	9940.ENSOARP00000019049	9940.ENSOARP00000005230	0	0	0	0	0	0	0	0.600	0.600
AMIGO2	NCOA7	9940.ENSOARP00000019049	9940.ENSOARP00000008463	0	0	0	0	0.047	0	0	0.547	0.549
AMOT	MAML2	9940.ENSOARP00000018745	9940.ENSOARP00000009159	0	0	0	0	0	0.099	0	0.411	0.446
AMOTL2	BAG3	9940.ENSOARP00000008862	9940.ENSOARP00000003221	0	0	0	0	0	0.080	0.066	0.478	0.512
AMOTL2	NUAK2	9940.ENSOARP00000008862	9940.ENSOARP00000004082	0	0	0	0	0.084	0	0	0.538	0.558
AMOTL2	ARHGEF17	9940.ENSOARP00000008862	9940.ENSOARP00000007937	0	0	0	0	0	0.042	0	0.533	0.533
AMOTL2	ANKRD1	9940.ENSOARP00000008862	9940.ENSOARP00000017081	0	0	0	0	0	0.100	0.054	0.537	0.571
AMOTL2	CCN2	9940.ENSOARP00000008862	9940.ENSOARP00000015287	0	0	0	0	0.128	0	0	0.536	0.578
ANKRD1	AMOTL2	9940.ENSOARP00000017081	9940.ENSOARP00000008862	0	0	0	0	0	0.100	0.054	0.537	0.571
ANKRD1	CCN2	9940.ENSOARP00000017081	9940.ENSOARP00000015287	0	0	0	0	0.081	0.048	0	0.737	0.750
ANKRD1	ANKRD22	9940.ENSOARP00000017081	9940.ENSOARP00000015724	0	0	0.491	0	0	0	0	0.124	0.535
ANKRD1	MYLK	9940.ENSOARP00000017081	9940.ENSOARP00000021691	0	0	0	0	0.090	0.135	0.055	0.383	0.479
ANKRD22	NFKBIA	9940.ENSOARP00000015724	9940.ENSOARP00000008048	0	0	0.486	0	0	0	0	0	0.486
ANKRD22	ANKRD1	9940.ENSOARP00000015724	9940.ENSOARP00000017081	0	0	0.491	0	0	0	0	0.124	0.535
ANKRD52	ESYT1	9940.ENSOARP00000010287	9940.ENSOARP00000010981	0	0	0	0	0	0.065	0.071	0.774	0.787
ANKRD52	CSRNP2	9940.ENSOARP00000010287	9940.ENSOARP00000018688	0	0	0	0	0	0	0	0.868	0.868
AP1S3	LOC101107908	9940.ENSOARP00000021897	9940.ENSOARP00000014860	0	0	0	0	0	0	0.654	0	0.654
AP1S3	AFTPH	9940.ENSOARP00000021897	9940.ENSOARP00000021488	0	0	0	0	0	0.269	0.360	0.206	0.596
APPBP2	KLHDC3	9940.ENSOARP00000018409	9940.ENSOARP00000005268	0	0	0	0	0	0	0	0.479	0.479
APPBP2	KIF5C	9940.ENSOARP00000018409	9940.ENSOARP00000010219	0	0	0	0	0.055	0.272	0.245	0.119	0.481
ARFGEF3	RASGEF1B	9940.ENSOARP00000000702	9940.ENSOARP00000000270	0	0	0	0	0.067	0	0	0.656	0.666
ARHGAP29	RAP1B	9940.ENSOARP00000018453	9940.ENSOARP00000001075	0	0	0	0	0	0.143	0.133	0.298	0.432
ARHGAP29	CDKN2AIP	9940.ENSOARP00000018453	9940.ENSOARP00000007656	0	0	0	0	0	0.047	0.044	0.397	0.402
ARHGEF17	NUAK2	9940.ENSOARP00000007937	9940.ENSOARP00000004082	0	0	0	0	0	0	0	0.619	0.619
ARHGEF17	KIF3C	9940.ENSOARP00000007937	9940.ENSOARP00000019824	0	0	0	0	0	0.045	0	0.480	0.482
ARHGEF17	AMOTL2	9940.ENSOARP00000007937	9940.ENSOARP00000008862	0	0	0	0	0	0.042	0	0.533	0.533
ARL5B	RNF125	9940.ENSOARP00000019110	9940.ENSOARP00000006559	0	0	0	0	0.047	0.048	0	0.468	0.475
ARL5B	KIF5C	9940.ENSOARP00000019110	9940.ENSOARP00000010219	0	0	0	0	0	0.042	0.148	0.508	0.563
ASAH2	SGMS2	9940.ENSOARP00000014806	9940.ENSOARP00000009222	0	0.083	0	0	0	0	0.900	0.571	0.957
ASAH2	CDK17	9940.ENSOARP00000014806	9940.ENSOARP00000013346	0	0	0	0	0	0	0	0.476	0.476
ATAD1	PLK2	9940.ENSOARP00000015129	9940.ENSOARP00000007754	0	0	0	0	0.053	0.103	0	0.380	0.428
ATAD1	GOSR1	9940.ENSOARP00000015129	9940.ENSOARP00000011721	0	0	0	0	0.111	0.151	0.330	0.059	0.460
ATAD1	ATXN3	9940.ENSOARP00000015129	9940.ENSOARP00000013662	0	0	0	0	0.067	0.279	0.332	0.136	0.559
ATAD1	TYRO3	9940.ENSOARP00000015129	9940.ENSOARP00000021895	0	0	0	0	0.071	0.103	0.092	0.304	0.403
ATAD1	UBXN7	9940.ENSOARP00000015129	9940.ENSOARP00000021832	0	0	0	0	0.068	0.775	0.587	0.167	0.918
ATF3	FOSL1	9940.ENSOARP00000011261	9940.ENSOARP00000000050	0	0	0	0.761	0	0.066	0	0.442	0.457
ATF3	TNFAIP3	9940.ENSOARP00000011261	9940.ENSOARP00000000580	0	0	0	0	0.138	0	0	0.391	0.452
ATF3	IFRD1	9940.ENSOARP00000011261	9940.ENSOARP00000002561	0	0	0	0	0.133	0	0	0.483	0.532
ATF3	NFIL3	9940.ENSOARP00000011261	9940.ENSOARP00000003574	0	0	0	0	0.090	0.146	0.069	0.302	0.427
ATF3	NFKBIA	9940.ENSOARP00000011261	9940.ENSOARP00000008048	0	0	0	0	0.080	0.080	0.100	0.512	0.578
ATF3	NR4A2	9940.ENSOARP00000011261	9940.ENSOARP00000008569	0	0	0	0	0.130	0.056	0	0.345	0.415
ATF3	CREB5	9940.ENSOARP00000011261	9940.ENSOARP00000009726	0	0	0	0	0	0.276	0	0.214	0.407
ATF3	FOSB	9940.ENSOARP00000011261	9940.ENSOARP00000010701	0	0	0	0.754	0.254	0	0	0.482	0.597
ATF3	EGR3	9940.ENSOARP00000011261	9940.ENSOARP00000010934	0	0	0	0	0.122	0.066	0.053	0.403	0.475
ATF3	CSF1	9940.ENSOARP00000011261	9940.ENSOARP00000020785	0	0	0	0	0.054	0	0	0.392	0.400
ATF3	NFKB1	9940.ENSOARP00000011261	9940.ENSOARP00000013630	0	0	0	0	0.056	0.080	0.100	0.350	0.424
ATF3	MXD1	9940.ENSOARP00000011261	9940.ENSOARP00000021203	0	0	0	0	0.047	0	0.053	0.420	0.431
ATF3	IRF1	9940.ENSOARP00000011261	9940.ENSOARP00000016180	0	0	0	0	0	0.104	0	0.409	0.448
ATF3	PPP1R15A	9940.ENSOARP00000011261	9940.ENSOARP00000013229	0	0	0	0	0.259	0	0	0.304	0.462
ATF3	FOSL2	9940.ENSOARP00000011261	9940.ENSOARP00000020928	0	0	0	0.764	0.184	0.127	0	0.323	0.475
ATF3	DUSP2	9940.ENSOARP00000011261	9940.ENSOARP00000015035	0	0	0	0	0.111	0.102	0	0.409	0.487
ATF3	NFKBIZ	9940.ENSOARP00000011261	9940.ENSOARP00000019997	0	0	0	0	0.099	0.080	0.100	0.400	0.492
ATF3	KLF6	9940.ENSOARP00000011261	9940.ENSOARP00000013841	0	0	0	0	0.185	0.066	0.053	0.410	0.517
ATF3	EGR1	9940.ENSOARP00000011261	9940.ENSOARP00000017688	0	0	0	0	0.196	0.066	0.053	0.663	0.728
ATG2B	SH3GLB1	9940.ENSOARP00000017285	9940.ENSOARP00000015943	0	0	0	0	0	0	0	0.633	0.633
ATP13A3	SMAD9	9940.ENSOARP00000021928	9940.ENSOARP00000011036	0	0	0	0	0	0	0	0.581	0.581
ATP13A3	SLC40A1	9940.ENSOARP00000021928	9940.ENSOARP00000017599	0	0	0	0	0	0	0	0.665	0.665
ATXN3	FBXO33	9940.ENSOARP00000013662	9940.ENSOARP00000009504	0	0	0	0	0	0.093	0	0.398	0.430
