"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj.BH"
"NFKBIA",1436.90429217415,4.17072545022168,0.10165556123615,41.0280106617375,0,0,0
"BIRC3",7904.72593222738,2.47679984187923,0.0580988941020898,42.6307570937076,0,0,0
"N4BP1",5541.52165866486,1.96651987174019,0.0519683765107683,37.8407024381975,0,0,0
"SDC4",11214.8721400822,2.21889785271,0.0448858635824178,49.4342243997542,0,0,0
"SELE",1761.79293153763,4.69709166470273,0.103321074564157,45.4611189877442,0,0,0
"HSPH1",19344.3214076778,2.00564269879897,0.0417304140795915,48.0618930589485,0,0,0
"LOC101112402",8168.05061850557,4.74382563656538,0.0677991301808045,69.96882738635,0,0,0
"TNFAIP3",7662.42861338584,6.09425380375252,0.0740686019085505,82.2785046122087,0,0,0
"RASGEF1B",2680.97766016193,3.69372611444614,0.077005532629765,47.9670224762319,0,0,0
"CXCL8",58971.5242358015,4.78267320326967,0.0692334453587219,69.080387065659,0,0,0
"NFKB1",5577.56716527848,2.51257574476003,0.0592627515671868,42.3972171105066,0,0,0
"NLRP3",3779.87670087968,3.23443652360795,0.0673138725945714,48.0500734683448,0,0,0
"IRF1",4908.94400374686,3.61594245750749,0.0712008277896234,50.7851182319325,0,0,0
"ICAM1",1500.40020114321,3.87713924237555,0.0939117714422321,41.2849122408525,0,0,0
"PHLDA1",12454.1399662857,3.61862227062035,0.0501781795039666,72.115455490654,0,0,0
"CCL20",3736.68839679678,7.19761103097903,0.132840128786575,54.1825056684711,0,0,0
"CD274",4530.61333805706,4.87418241527827,0.0858565247437533,56.7712521538196,0,0,0
"HSPA6",1445.52201109436,4.48333829948642,0.105583283564199,42.4625769169263,0,0,0
"CTGF",95545.1393016045,-1.65596399874467,0.0447186837231166,-37.0306963639148,3.67305897210238e-300,4.05119072733566e-297,4.05119072733566e-297
"GPR63",5358.99875776644,2.20090172021885,0.0602229237092319,36.5459128295603,2.0706588550766e-292,2.16963634834926e-289,2.16963634834926e-289
"NOCT",2539.64458721815,2.99320985396256,0.0820421743717957,36.4837947906895,2.00413288199111e-291,1.99993374642885e-288,1.99993374642885e-288
"RNF125",7609.20020261329,2.22560328055405,0.0615079214240344,36.1840105961439,1.08638338447907e-286,1.03482955477924e-283,1.03482955477924e-283
"PARM1",6690.36818820901,2.85808172610691,0.080150129330903,35.6591031102046,1.70277255703736e-278,1.55144790022934e-275,1.55144790022934e-275
"NFIL3",7099.54132863372,2.00203872863767,0.0564081660592012,35.492001752663,6.53061068076695e-276,5.70231155942301e-273,5.70231155942301e-273
"ERRFI1",6061.47071969333,2.00022066805115,0.0565469409811116,35.3727475500272,4.48236229810372e-274,3.75729537276246e-271,3.75729537276246e-271
"ZC3HAV1",17839.5136216123,2.53575724253509,0.0723895637565529,35.0293206775341,8.05220805857429e-269,6.49007969521088e-266,6.49007969521088e-266
"INHBA",39781.696724523,1.31441617503961,0.0384415251890474,34.1926125088841,3.11352099392522e-256,2.41655355365544e-253,2.41655355365544e-253
"ATF3",2012.54410065717,2.52858079034557,0.0760912484351696,33.2309016128174,3.85359477753145e-242,2.88414043421247e-239,2.88414043421247e-239
"DLC1",7616.67199178455,1.6726401365161,0.050607796479472,33.0510366558751,1.50315701437535e-239,1.08621235838792e-236,1.08621235838792e-236
"LOC101113495",925.647370148799,4.48607182770352,0.137100181370629,32.7211224876219,7.82109395618444e-235,5.46329483152671e-232,5.46329483152671e-232
"LIF",2391.67132326801,3.06972760320224,0.093959699015114,32.6706836588361,4.07520965184162e-234,2.75484172464493e-231,2.75484172464493e-231
"MXD1",6825.38406769381,1.75772295500775,0.0543604629370982,32.3345839979628,2.28517414162207e-229,1.49650341599475e-226,1.49650341599475e-226
"LOC101110341",1518.8601885656,3.17210929620805,0.0994629658913287,31.8923658447289,3.40701782897426e-223,2.16355956436317e-220,2.16355956436317e-220
"CTSC",6501.82889758654,1.79015835040275,0.0568658555296075,31.4803731295433,1.61261458626319e-217,9.93939743227397e-215,9.93939743227397e-215
"DUSP5",2499.12485178455,2.23331027932217,0.071230748903787,31.3531770154313,8.80574151935759e-216,5.27237483656165e-213,5.27237483656165e-213
"LOC494436",5622.92444206997,2.04980197839057,0.0654427445814015,31.3220662046181,2.33672044989953e-215,1.36023093744707e-212,1.36023093744707e-212
"PCF11",6775.61016744211,1.66501135194246,0.0535360425247686,31.1007551813741,2.35254716727503e-212,1.33243184965988e-209,1.33243184965988e-209
"LOC105603123",8355.93073426111,-1.83363396458076,0.0592729047865438,-30.9354496997257,3.98727936157162e-210,2.19887963950249e-207,2.19887963950249e-207
"CSRNP1",1664.53768218529,2.90392086334838,0.0942016065923615,30.8266596334658,1.15143208534416e-208,6.18702840524931e-206,6.18702840524931e-206
"FAM171B",5758.35267372204,1.83865069765052,0.059937410219071,30.676178549094,1.18320439459348e-206,6.19880782327525e-204,6.19880782327525e-204
"RNF213",52344.932943354,1.90769714900723,0.0634566099661768,30.0630170761416,1.47574070765994e-198,7.54283469993214e-196,7.54283469993214e-196
"CD44",13982.8606386498,1.34057645917127,0.0446698666668736,30.0107557779084,7.10403396396382e-198,3.54457466068633e-195,3.54457466068633e-195
"LOC101102178",11652.4053254613,1.42763359229761,0.047834256772096,29.8454222692222,1.00655698346829e-195,4.90544375478173e-193,4.90544375478173e-193
"HSPA1A",5157.81200607985,2.11546706232648,0.0724264676139719,29.2084804356575,1.51335423097476e-187,7.2076934691607e-185,7.2076934691607e-185
"ADAR",13484.0982148332,1.76395408150152,0.0610926175072441,28.8734409078538,2.57375939930134e-183,1.19857115492797e-180,1.19857115492797e-180
"TAF4B",2366.22115580332,1.99232895218656,0.0704968909091496,28.2612314740817,1.03588756368913e-175,4.71914343144985e-173,4.71914343144985e-173
"HBEGF",1814.46100575717,2.5639386628268,0.0907810696589764,28.2430981751853,1.73014253828496e-175,7.71422702814886e-173,7.71422702814886e-173
"KLF6",29963.5835612225,1.16200409649961,0.0417556648457954,27.8286575196662,1.95273572234218e-170,8.52531870779223e-168,8.52531870779223e-168
"CDKN2AIP",2527.09826293157,2.15142815085287,0.0775454949124023,27.7440766002357,2.05418431911053e-169,8.78520134515923e-167,8.78520134515923e-167
"NRG1",22042.5525943743,1.8801725972791,0.0681174396098804,27.6019270255481,1.05499659431057e-167,4.42170172607448e-165,4.42170172607448e-165
"TNFSF13B",685.648894640222,4.11693806678049,0.150316814544378,27.3884068077098,3.76929034743839e-165,1.54880879452782e-162,1.54880879452782e-162
"LRIF1",5595.36293371497,1.60265765670001,0.0585946156704813,27.3516199118512,1.03303387147798e-164,4.16312650205626e-162,4.16312650205626e-162
"S1PR1",1286.69561153304,2.56211060786677,0.0961130097873318,26.6572716174004,1.47396171265565e-156,5.82798899064372e-154,5.82798899064372e-154
"AZI2",5203.20772198522,1.4206257973875,0.0535708884475627,26.5186155868605,5.91296739408307e-155,2.29466934648898e-152,2.29466934648898e-152
"LOC101109643",2727.24630804948,2.22622681108816,0.0842971982364321,26.4092622016234,1.07252896229269e-153,4.086530351601e-151,4.086530351601e-151
"XRN2",11533.93434395,1.31593412104591,0.0503115985071479,26.1556809978707,8.49273095369271e-151,3.17810124759972e-148,3.17810124759972e-148
"ATG2B",19703.4852634796,1.24740172141467,0.0477325855730533,26.1331270124799,1.53287674051696e-150,5.6356078902234e-148,5.6356078902234e-148
"DUSP6",6893.41416342464,1.61818278352682,0.0625771252556373,25.8590144068826,1.92659673318911e-147,6.96099330012258e-145,6.96099330012258e-145
"TRIM26",3386.55608544153,1.69102072539551,0.0653984655539391,25.8571926890364,2.01966469648676e-147,7.17357514908078e-145,7.17357514908078e-145
"TRIM25",11098.5481190614,1.91855958339507,0.074308284613966,25.8189190258132,5.43753286158695e-147,1.89914897745693e-144,1.89914897745693e-144
"YY1",6861.47365805031,1.2826840354341,0.0498851472362847,25.7127443036015,8.41931782966455e-146,2.89238072849918e-143,2.89238072849918e-143
"NFKBIZ",3554.56656346159,1.60980719417639,0.0626143198544611,25.7098886950809,9.06173852983702e-146,3.06286762308491e-143,3.06286762308491e-143
"HSPA8",69070.9085522007,1.02127976628387,0.03973389868247,25.7029841054697,1.08245983908521e-145,3.60063942664598e-143,3.60063942664598e-143
"IER3",1580.40295681671,2.08613750983415,0.0813335486448519,25.6491637779559,4.31984968236084e-145,1.41448078036803e-142,1.41448078036803e-142
"PNPT1",10458.3887907548,1.89897544584513,0.0742323441412178,25.5815098905211,2.45038654860417e-144,7.90004623269986e-142,7.90004623269986e-142
"IPMK",3359.36096048527,1.85302094683592,0.0733606544122507,25.2590569383808,9.00681951865002e-141,2.85980166413378e-138,2.85980166413378e-138
"LOC101103238",25922.1525968171,-1.16946609699725,0.0463511149534487,-25.2305925795263,1.8498391593303e-140,5.78585513775012e-138,5.78585513775012e-138
"RIPK2",4919.08367367445,1.43950614654238,0.0572171769575258,25.158636323686,1.13686084043254e-139,3.50353761354474e-137,3.50353761354474e-137
"LRRC8C",21650.5512271598,1.17333038803651,0.0466627533681872,25.1449025902626,1.60679712453734e-139,4.88000587562383e-137,4.88000587562383e-137
"STAT2",8070.9480094687,1.54666425318625,0.061530826422011,25.136412805159,1.9897683927532e-139,5.956798062648e-137,5.956798062648e-137
"MBD2",5745.10671459497,1.6012618670069,0.0637877932947798,25.1029512748161,4.6176649002041e-139,1.36292655843207e-136,1.36292655843207e-136
"PKD1L3",1409.53844260635,2.48515119919098,0.0993843864560812,25.0054489221925,5.33360230300514e-138,1.55237458141355e-135,1.55237458141355e-135
"SP110",2254.49883933172,2.39174491016178,0.0957543902564586,24.9779138455791,1.06256723775418e-137,3.05029575813378e-135,3.05029575813378e-135
"ATP13A3",72245.4214888356,1.11141733816316,0.0447845633525719,24.8169738624755,5.87990409683976e-136,1.66512527369424e-133,1.66512527369424e-133
"VCPIP1",7673.16523290203,1.30262771930784,0.0533309428574996,24.4253645165897,9.19751844860285e-132,2.56990928811895e-129,2.56990928811895e-129
"SPRY4",4629.18957063806,1.74515202598902,0.071581584859596,24.3799020294403,2.79437881532846e-131,7.70513190184517e-129,7.70513190184517e-129
"LOC106990865",597.881007663193,3.15744309065338,0.129992580974912,24.2894099568863,2.53659947809437e-130,6.90350372246047e-128,6.90350372246047e-128
"CASP8",4358.87812600002,1.61184806972171,0.0664138655978594,24.2697523357782,4.09149371491232e-130,1.09924797807311e-127,1.09924797807311e-127
"BAG3",2107.12493316683,2.10454267805791,0.0873815419651193,24.0845220938994,3.63174165467422e-128,9.63376938169026e-126,9.63376938169026e-126
"EPSTI1",675.639237923006,3.76105791866769,0.156824641085816,23.9825699113802,4.2275694305622e-127,1.10741181233577e-124,1.10741181233577e-124
"EPM2AIP1",7850.4610182009,-1.39138121138217,0.0581506742866475,-23.9271724438396,1.59741375336387e-126,4.13276575499917e-124,4.13276575499917e-124
"TYSND1",1965.7984007784,-1.73162236171971,0.0724283287169766,-23.908081166504,2.52388506503419e-126,6.4500652954703e-124,6.4500652954703e-124
"ARFGEF3",858.252756664305,3.12482910308591,0.131255903867557,23.8071508481554,2.81619558453605e-125,7.11038489994427e-123,7.11038489994427e-123
"PARP12",3281.33754199404,1.74598630509437,0.0733434510195824,23.8056197359488,2.92092757333768e-125,7.28701883653148e-123,7.28701883653148e-123
"ANKRD22",4189.53034834328,1.88695352688909,0.0792716012190284,23.8036509654373,3.06133014074554e-125,7.54743934464277e-123,7.54743934464277e-123
