"" "SRR21623193" "SRR21623194" "SRR21623195" "SRR21623196" "SRR21623197" "SRR21623198"
"rna-NC_001941.1:15371..15436" 0 0 0 0 0 0
"rna-NC_001941.1:15302..15371" 0 0 0 0 0 0
"CYTB" 0 0 0 0 0 0
"rna-NC_001941.1:14086..14154" 0 0 0 0 0 0
"ND6" 0 0 0 0 0 0
"ND5" 0 0 0 0 0 0
"rna-NC_001941.1:11683..11753" 0 0 0 0 0 0
"rna-NC_001941.1:11622..11681" 0 0 0 0 0 0
"rna-NC_001941.1:11553..11621" 0 0 0 0 0 0
"ND4" 0 0 0 0 0 0
"ND4L" 0 0 0 0 0 0
"rna-NC_001941.1:9816..9884" 0 0 0 0 0 0
"ND3" 0 0 0 0 0 0
"rna-NC_001941.1:9400..9468" 0 0 0 0 0 0
"COX3" 0 0 0 0 0 0
"ATP6" 0 0 0 0 0 0
"ATP8" 0 0 0 0 0 0
"rna-NC_001941.1:7706..7773" 0 0 0 0 0 0
"COX2" 0 0 0 0 0 0
"rna-NC_001941.1:6950..7017" 0 0 0 0 0 0
"rna-NC_001941.1:6874..6944" 0 0 0 0 0 0
"COX1" 0 0 0 0 0 0
"rna-NC_001941.1:5263..5330" 0 0 0 0 0 0
"rna-NC_001941.1:5195..5262" 0 0 0 0 0 0
"rna-NC_001941.1:5090..5162" 0 0 0 0 0 0
"rna-NC_001941.1:5020..5088" 0 0 0 0 0 0
"rna-NC_001941.1:4952..5018" 0 0 0 0 0 0
"ND2" 0 0 0 0 0 0
"rna-NC_001941.1:3841..3909" 0 0 0 0 0 0
"rna-NC_001941.1:3767..3838" 0 0 0 0 0 0
"rna-NC_001941.1:3701..3769" 0 0 0 0 0 0
"ND1" 0 0 0 0 0 0
"rna-NC_001941.1:2668..2742" 0 0 0 0 0 0
"rna-NC_001941.1:1094..2667" 0 0 0 0 0 0
"rna-NC_001941.1:1027..1093" 0 0 0 0 0 0
"rna-NC_001941.1:69..1026" 0 0 0 0 0 0
"rna-NC_001941.1:1..68" 0 0 0 0 0 0
"LOC105612255" 5.24158516835078 6.51711399964548 5.96791380803545 9.07272070093394 8.94342732337513 8.96932934704787
"LOC101107265" 7.63593953163863 7.10018604367529 7.43645261008591 5.87981655214611 8.28630950161747 6.19968441807912
"PTDSS2" 16.2575619761217 19.2475732606139 22.4069940777624 17.8236443334219 16.3115079126102 16.441522420048
"LOC105606144" 0 0 0.069651255135479 0.302649572944744 0.157505040440007 0.0858568647555786
"LOC105606142" 0 0.235738778938001 0 0 0 0
"LOC105606141" 0 0 0 0 0 0
"LOC101106755" 0.138826788310255 0.0718096588149602 0.310894628050877 0.317859654046583 0.537617204701892 0.405772751583288
"LOC101106506" 21.582373241737 21.6107492906124 26.1704445122586 17.7325641647247 18.6049418477544 19.2449176407087
"LOC101106245" 3.9860816627357 2.72390384481819 4.5861437387188 2.90264489556227 4.70608720254177 3.7054536212667
"LOC105606140" 25.3448363190568 16.2448648112948 24.677524750307 15.4536075021121 16.1668131603876 11.8992721758397
"LOC105606139" 0.984867280876392 1.3584886947457 1.11774670927861 0.925113918493785 0.722172364524929 0.787320264266082
"LOC101105991" 66.3361667461385 71.7044205218693 71.5688262423813 72.1349602825542 68.198596268865 57.7526562813801
