"Geneid","Length","SRR21623193","SRR21623194","SRR21623195","SRR21623196","SRR21623197","SRR21623198"
"rna-NC_001941.1:15371..15436",66,0,0,0,0,0,0
"rna-NC_001941.1:15302..15371",70,0,0,0,0,0,0
"CYTB",1140,0,0,0,0,0,0
"rna-NC_001941.1:14086..14154",69,0,0,0,0,0,0
"ND6",528,0,0,0,0,0,0
"ND5",1821,0,0,0,0,0,0
"rna-NC_001941.1:11683..11753",71,0,0,0,0,0,0
"rna-NC_001941.1:11622..11681",60,0,0,0,0,0,0
"rna-NC_001941.1:11553..11621",69,0,0,0,0,0,0
"ND4",1378,0,0,0,0,0,0
"ND4L",297,0,0,0,0,0,0
"rna-NC_001941.1:9816..9884",69,0,0,0,0,0,0
"ND3",346,0,0,0,0,0,0
"rna-NC_001941.1:9400..9468",69,0,0,0,0,0,0
"COX3",784,0,0,0,0,0,0
"ATP6",679,0,0,0,0,0,0
"ATP8",201,0,0,0,0,0,0
"rna-NC_001941.1:7706..7773",68,0,0,0,0,0,0
"COX2",684,0,0,0,0,0,0
"rna-NC_001941.1:6950..7017",68,0,0,0,0,0,0
"rna-NC_001941.1:6874..6944",71,0,0,0,0,0,0
"COX1",1545,0,0,0,0,0,0
"rna-NC_001941.1:5263..5330",68,0,0,0,0,0,0
"rna-NC_001941.1:5195..5262",68,0,0,0,0,0,0
"rna-NC_001941.1:5090..5162",73,0,0,0,0,0,0
"rna-NC_001941.1:5020..5088",69,0,0,0,0,0,0
"rna-NC_001941.1:4952..5018",67,0,0,0,0,0,0
"ND2",1042,0,0,0,0,0,0
"rna-NC_001941.1:3841..3909",69,0,0,0,0,0,0
"rna-NC_001941.1:3767..3838",72,0,0,0,0,0,0
"rna-NC_001941.1:3701..3769",69,0,0,0,0,0,0
"ND1",955,0,0,0,0,0,0
"rna-NC_001941.1:2668..2742",75,0,0,0,0,0,0
"rna-NC_001941.1:1094..2667",1574,0,0,0,0,0,0
"rna-NC_001941.1:1027..1093",67,0,0,0,0,0,0
"rna-NC_001941.1:69..1026",958,0,0,0,0,0,0
"rna-NC_001941.1:1..68",68,0,0,0,0,0,0
"LOC105612255",9035,933,841,1008,1058,1336,1229
"LOC101107265",1489,224,151,207,113,204,140
"PTDSS2",1917,614,527,803,441,517,478
"LOC105606144",1536,0,0,2,6,4,2
"LOC105606142",594,0,2,0,0,0,0
"LOC105606141",362,0,0,0,0,0,0
"LOC101106755",2925,8,3,17,12,26,18
"LOC101106506",1905,810,588,932,436,586,556
"LOC101106245",1388,109,54,119,52,108,78
"LOC105606140",737,368,171,340,147,197,133
"LOC105606139",670,13,13,14,8,8,8
"LOC101105991",290,379,297,388,270,327,254
